,year,month,size,cloud_cover
214,2003,11,22,10.0
215,2003,12,14,10.0
216,2004,1,96,100.0
217,2004,2,81,100.0
218,2004,3,110,100.0
219,2004,4,140,100.0
220,2004,5,177,100.0
221,2004,6,218,100.0
222,2004,7,233,100.0
223,2004,8,264,100.0
224,2004,9,263,100.0
225,2004,10,200,100.0
226,2004,11,165,100.0
227,2004,12,129,100.0
228,2004,1,0,0.0
229,2004,2,0,0.0
230,2004,3,0,0.0
231,2004,4,0,0.0
232,2004,5,0,0.0
233,2004,6,0,0.0
234,2004,7,0,0.0
235,2004,8,0,0.0
236,2004,9,0,0.0
237,2004,10,0,0.0
238,2004,11,0,0.0
239,2004,12,0,0.0
240,2004,1,6,1.0
241,2004,2,1,1.0
242,2004,3,2,1.0
243,2004,4,3,1.0
244,2004,5,12,1.0
245,2004,6,48,1.0
246,2004,7,45,1.0
247,2004,8,53,1.0
248,2004,9,23,1.0
249,2004,10,5,1.0
250,2004,11,1,1.0
251,2004,12,1,1.0
252,2004,1,7,2.0
253,2004,2,6,2.0
254,2004,3,3,2.0
255,2004,4,5,2.0
256,2004,5,22,2.0
257,2004,6,63,2.0
258,2004,7,57,2.0
259,2004,8,66,2.0
260,2004,9,33,2.0
261,2004,10,9,2.0
262,2004,11,2,2.0
263,2004,12,2,2.0
264,2004,1,11,5.0
265,2004,2,9,5.0
266,2004,3,3,5.0
267,2004,4,9,5.0
268,2004,5,36,5.0
269,2004,6,82,5.0
270,2004,7,80,5.0
271,2004,8,92,5.0
272,2004,9,55,5.0
273,2004,10,17,5.0
274,2004,11,9,5.0
275,2004,12,5,5.0
276,2004,1,17,10.0
277,2004,2,16,10.0
278,2004,3,7,10.0
279,2004,4,19,10.0
280,2004,5,48,10.0
281,2004,6,98,10.0
282,2004,7,104,10.0
283,2004,8,111,10.0
284,2004,9,74,10.0
285,2004,10,35,10.0
286,2004,11,20,10.0
287,2004,12,12,10.0
288,2005,1,111,100.0
289,2005,2,78,100.0
290,2005,3,73,100.0
291,2005,4,149,100.0
292,2005,5,187,100.0
293,2005,6,226,100.0
294,2005,7,273,100.0
295,2005,8,282,100.0
296,2005,9,240,100.0
297,2005,10,190,100.0
298,2005,11,150,100.0
299,2005,12,0,100.0
300,2005,1,0,0.0
301,2005,2,0,0.0
302,2005,3,0,0.0
303,2005,4,0,0.0
304,2005,5,0,0.0
305,2005,6,0,0.0
306,2005,7,0,0.0
307,2005,8,0,0.0
308,2005,9,0,0.0
309,2005,10,0,0.0
310,2005,11,0,0.0
311,2005,12,0,0.0
312,2005,1,3,1.0
313,2005,2,1,1.0
314,2005,3,1,1.0
315,2005,4,6,1.0
316,2005,5,11,1.0
317,2005,6,47,1.0
318,2005,7,102,1.0
319,2005,8,74,1.0
320,2005,9,16,1.0
321,2005,10,5,1.0
322,2005,11,2,1.0
323,2005,12,0,1.0
324,2005,1,8,2.0
325,2005,2,2,2.0
326,2005,3,3,2.0
327,2005,4,14,2.0
328,2005,5,15,2.0
329,2005,6,65,2.0
330,2005,7,122,2.0
331,2005,8,92,2.0
332,2005,9,31,2.0
333,2005,10,11,2.0
334,2005,11,4,2.0
335,2005,12,0,2.0
336,2005,1,11,5.0
337,2005,2,4,5.0
338,2005,3,5,5.0
339,2005,4,22,5.0
340,2005,5,33,5.0
341,2005,6,81,5.0
342,2005,7,148,5.0
343,2005,8,121,5.0
344,2005,9,58,5.0
345,2005,10,20,5.0
346,2005,11,7,5.0
347,2005,12,0,5.0
348,2005,1,14,10.0
349,2005,2,8,10.0
350,2005,3,6,10.0
